/scratch1/tsa5252/anaconda3/lib/python3.11/site-packages/hydra/_internal/defaults_list.py:251: UserWarning: In 'config': Defaults list is missing `_self_`. See https://hydra.cc/docs/1.2/upgrades/1.0_to_1.1/default_composition_order for more information
  warnings.warn(msg, UserWarning)
global_step=32952, episodic_return=145.86
global_step=33076, episodic_return=28.29
global_step=33380, episodic_return=144.55
global_step=33876, episodic_return=182.05
global_step=34316, episodic_return=224.53
global_step=34644, episodic_return=151.93
global_step=35120, episodic_return=227.20
global_step=35320, episodic_return=83.35
global_step=35576, episodic_return=96.99
global_step=36072, episodic_return=222.87
global_step=36476, episodic_return=198.42
global_step=37020, episodic_return=257.19
global_step=37408, episodic_return=188.52
global_step=37600, episodic_return=75.79
global_step=37872, episodic_return=105.55
global_step=38132, episodic_return=115.26
global_step=38520, episodic_return=197.44
global_step=38764, episodic_return=111.10
global_step=39176, episodic_return=169.78
global_step=39492, episodic_return=146.27
global_step=39864, episodic_return=159.96
global_step=40088, episodic_return=85.71
global_step=40444, episodic_return=152.61
global_step=40648, episodic_return=81.61
Eval: global_step=40960, reward=214.08 +/- 1.63
global_step=41164, episodic_return=252.08
global_step=41576, episodic_return=221.57
global_step=41904, episodic_return=156.04
global_step=42208, episodic_return=131.61
global_step=42580, episodic_return=171.88
global_step=42756, episodic_return=49.06
global_step=43128, episodic_return=186.83
global_step=43444, episodic_return=150.26
global_step=43824, episodic_return=200.70
global_step=44056, episodic_return=93.59
global_step=44372, episodic_return=137.47
global_step=44700, episodic_return=172.12
global_step=45048, episodic_return=169.06
global_step=45464, episodic_return=207.79
global_step=45696, episodic_return=96.36
global_step=46084, episodic_return=186.08
global_step=46524, episodic_return=224.68
global_step=46804, episodic_return=106.71
global_step=47168, episodic_return=166.48
global_step=47472, episodic_return=141.91
global_step=47764, episodic_return=137.09
global_step=48112, episodic_return=165.50
global_step=48336, episodic_return=97.20
global_step=48856, episodic_return=183.64
global_step=49076, episodic_return=93.01
Eval: global_step=49152, reward=216.00 +/- 1.98
global_step=49484, episodic_return=202.97
global_step=49868, episodic_return=217.23
global_step=50276, episodic_return=149.23
global_step=50580, episodic_return=146.37
global_step=50940, episodic_return=193.80
global_step=51348, episodic_return=219.51
global_step=51552, episodic_return=85.72
global_step=51888, episodic_return=168.15
global_step=52432, episodic_return=258.66
global_step=52860, episodic_return=225.92
global_step=53228, episodic_return=168.87
global_step=53616, episodic_return=204.18
global_step=53808, episodic_return=76.31
global_step=54212, episodic_return=206.34
global_step=54556, episodic_return=185.79
global_step=54888, episodic_return=146.93
global_step=55324, episodic_return=224.36
global_step=55824, episodic_return=236.37
global_step=56112, episodic_return=136.66
global_step=56448, episodic_return=170.73
global_step=56664, episodic_return=86.41
global_step=57040, episodic_return=175.33
global_step=57344, episodic_return=137.31
Eval: global_step=57344, reward=226.12 +/- 1.52
global_step=57740, episodic_return=207.14
global_step=58188, episodic_return=236.65
global_step=58448, episodic_return=119.46
global_step=58736, episodic_return=135.76
global_step=58992, episodic_return=118.60
global_step=59392, episodic_return=218.95
global_step=59812, episodic_return=226.45
global_step=60232, episodic_return=228.27
global_step=60740, episodic_return=251.46
global_step=61196, episodic_return=237.63
global_step=61572, episodic_return=201.39
global_step=61980, episodic_return=213.05
global_step=62400, episodic_return=211.67
global_step=62624, episodic_return=98.44
global_step=63076, episodic_return=231.60
